,reviewId,content,score,sentiment
0,30a89ce5-ecb8-423a-8447-95c21fed977f,"the navigation to view each item should allow us to view the pictures for the items without having to open the specific posting, it takes to long.",3,negative
1,619cd4a0-b202-4a7c-aa10-e624b1bb83e3,I have Mobility Issues Give Me Ease of Access To Order Quality Items for me and Family Affordable prices💋🎉🎈❤️😘,5,positive
2,44b925de-2b12-4fc0-ba5a-20d4541fb42b,Easy overall navigation and experience!,4,positive
3,dcf70f60-61b0-4c06-a630-45202ed418ae,"Returned after another two years (again). App seems nice now, working well. I would suggest making the cancel item/order and review more accessible though. And actually add ""cancel order"", instead of having to cancel each item. Edit: VERY pleased with shipping, current order only came in only a week and half!",4,negative
4,a5d95b32-3eac-4dbd-a5b4-abf896f79fda,Love using wish shopping on line app. I get my idems at better prices. Saves me money and time. Which makes it easier for me. Hey there everyone I'm back to do an update on shopping with Wish . Due to me being on disability I am so glad that I downloaded Wish app because I can afford most of the idems and if the idem isn't what I was expecting and I wasn't happy about the idem Wish made it right. I can say that I am a happy to have found an app and that app is Wish.I now give Wish a 5 star plus.,5,positive
5,3e372c3b-a371-4eb9-9c34-09a7105df118,Easy navigation so far and a lot of cool items,5,positive
6,1549932d-72c8-46a0-af2a-46cd6bdf8649,"So far I have placed several orders and only one item was not as described. Wish immediately processed a refund. My only issue is that once I accepted the refund, I was no longer able to leave a rating on the store or the product. I believe this skews the review results and leaves less incentive for the shops to improve. Aside from that, it's nearly addictive and I have to budget my Wish shopping to keep from spending too much money on such fun and accessible products.",4,negative
7,c37bab94-6138-4ff2-9f74-3a572d726f49,"Confidential, accessible, easy to use and straightfoward",5,positive
8,528ef67c-74ae-4ff4-b7c2-e844b78ac0a2,Love the things u have. Just not a close store to pick up at anymore. I'm handicap,5,negative
9,5dad9633-3a97-46bf-9ad3-516a14c148c4,Reason why I love this app in the real world most people you don't have the proper cash so look nice to feel good but would wish I'm able to have confidence again due to the fact I'm disabled due to being ran over by a car anyway I'm on disability and I am an assistant living and dude it is they take everything I own on disability and let the $50 cash per month only thanks to wish I was able to keep up my appearance thank you for this so anybody out there they have a great products low prices t,5,positive
10,4f5a5d1b-da4d-4675-a12f-778eecbaaafc,Love the navigation of this app.,3,positive
11,08dbe2f3-6463-482a-a413-636d1822c7fe,"stopped buying off of here. was good for awhile, of course that was when you could get things free where you just pay shipping.. That option being available was good for people like me who are perma unable to work due to disability. But....They took that option away from us.. Now you rarley see anything for $1 plus shipping anymore even. Now shipping is insanely high etc. If it were to go back like that Id gladly rate a 5. But, we know that wont happen.",1,negative
12,23ac9d1b-f032-43c3-b875-a05ee1305535,For the most part the app is pretty easy to navigate through and you guys have a very very big bass variety of items which make the shopping experience amazing you're one downfall out of a few but I find one of your main downfalls is your pricings are so far vastly out of range you'll find the same item at one extensive Price look for the down the list and find the same exact item for half the price doesn't make any sense as far as not very knowledgeable shopper which easy navigation was intende,3,positive
13,fed38af5-0c06-4606-b5fe-3116a0ee1186,The Best Shopping app ever until now it keeps saying my DIRECT EXPRESS CREDIT CARD My Disability is a prepaid card. Even DIRECT EXPRESS said there doing something wrong . I am always using the Klarna app only Wish app I am having this problem . PLEASE FIX THIS PROBLEM I HAVE NEVER HAD THIS PROBLEM 🤬,5,negative
14,ca732479-b1e7-4f32-9aab-e8918bf4cefa,"Easy navigation, clear descriptions and pics..great for window shopping too!",5,positive
15,397cd37a-df67-4584-a4b7-9e3bdcc24d77,Sometimes navigation is little difficult,3,positive
16,8d008198-db11-4383-bb20-4e577bf029af,Fun affordable and all inclusive they got what you need,5,positive
17,f2431d87-7018-4cfe-9a2e-6fd618fcedb2,"I like it. It's actually kinda pesky, cuz I'm such a PRO- LBO (Professional Low Budget Operator). 😁 I see items that we'd love to have, but we ain't got no $$$. Two mobility scooters 🛵 for a couple of disabled people is badly needed. We just can't afford them... 🥲",4,positive
18,8b110258-fd36-4024-834c-48eb98ed2b09,The app is easy to use. The best i ever used (navigation is easy) but just the shipping is very expensive. It is calculated per item instead of per order.,4,positive
19,ddd9f93b-5f75-4421-80b6-ce023ee42ab4,Great items! Great prices! Easy navigation! The best! Amazingly accurate!,5,positive
20,63956754-4966-4205-a4ac-83bf9f39eb35,"They don't want people to know the Truth!My daughter left a bad review,now it isn't up at all for people to see they only show you a few bad reviews so you think it's good but it's Not.BewarePeople Wish lies,they will rob you blind by price or shipping!you can Not get your money back, any jewelry that they sell as sterlingsilveris100 percent Fake you can't wear it cause it turns you green!clothes are cheaply made.Nothing but a bunchofChinese Robbers!No more china products for our company!USA!!!!",1,negative
21,d47d2e38-1c67-48c5-915b-edb6cf5cc3d1,Nothing beats getting absolutely blind drunk and ordering stuff on wish,5,positive
22,d36221ef-de53-41fe-8749-5b426553c32e,I have purchased many items from Wish and happy with most. I ordered a computer desk 3 years ago have not received and no refund it cost me 67.00 dollars and I am very upset because I am on Disability and really can't afford to just throw money away.,5,negative
23,8b9a9156-9505-45d2-be33-9cba2ff0eb5c,"Many great deals. Though, the area where the search bar is, could use better contrast (instead of using white lettering black may be better, for easier use and to see it better). Sometimes they send the wrong item ( I recieved the wrong item, instead of a binder, I recieved some sort of banana scented balm).",5,negative
24,929114ea-0294-46cb-b358-d449beb9145e,Hi a freind ordered a mobility scooter on the 8/6/2022 for me and I haven't heard a word only to say they got the order so wondering when will it be delivered please,1,negative
25,0885c608-e988-4ba8-9a86-705b6652eb37,I just put it in the caption on the last screen wishes awesome. Now reward me with something,5,positive
26,90cc09a4-9121-49e8-b02d-cf94961aa196,"it's a love-hate affair once you get on the site you can't get off and when you have bipolar like I do and you're at home cuz you're on disability makes a rough day, when you say what did I buy today or where did I buy that that's why the things are inexpensive sometimes are good sometimes they're not",5,negative
27,8c853451-65e6-4f3c-94db-21f283e5bb37,I'm on disability and i only get less than $200.00 a month which for me still isn't enough.,5,positive
28,ab474df9-2435-476a-be9d-84a69c8245a2,"I'll give it a 4 star rating! Lovely interface, smooth navigation! Smart marketing AI.. BUT I'LL RETURN TO GIVE IT AN EXTRA STAR WHEN MY MERCHANDISE ARRIVES😁",4,negative
29,f75de4f1-2076-4a6a-a0c5-ed69adae3022,Too much porn advertised. Showing it shoved up body parts. There's a place for all of that and it's not on an app that is accessible to children. Shame on you wish.,1,negative
30,7b127040-2f6e-4f23-8082-d4eae27b27fb,Horrid Wish charged my PayPal account never sent the products. My 6yr grandson ordered stuff 3 times. I tried to access the orders not accessible and did not exist . Requested my moneys Wish never refunded. Paypal could revert it cause wish orders didn't exist. Over $1200,1,negative
31,fb1a5f66-1fca-40f4-867c-32f5b0378d52,Very nice and easy accessibility,5,positive
32,3d8a2f2c-dc8e-4e4a-a4bd-23f0f252ae66,"So easy,accessible just great on so many levels.",5,positive
33,ce19d554-425c-41b8-bc11-96d9a741e54f,It's the best online shopping app that delivers. It's reliable. But sometimes delivers wrong orders. Customer support not accessible,5,positive
34,79a83e6a-6e63-42e3-b502-397946a58e20,"Easy navigation app...THE ABSOLUTE BEST PRICING ....ANYWHERE !! GREAT PRODUCTS !!!! I love earning points and using discount codes. Delivery time could be a bit better AND better packaging, 50% of my earrings & etc arrive bent or broken !! PLUS, shipping charges are WAY to high, esprcially when many, mamy items are placed in 1 bag, saving only YOU on individual shipping costs...",5,positive
35,57d23479-cb8b-476b-bc37-49034e872869,I like wish the prices are great . takes a little while before you get it . but it's worth it . except when they need to replace it with something else because they don't have the item you ordered. and it fits my budget .I live on low income for disability and I have a hard time getting out to go shopping . I love this store because the product comes to me it might take awhile but it is worth the wait to me . This is my favorite store . Thank you wish . Your 100% satisfaction to me,5,positive
36,b96ab051-906b-4df3-aaff-87ed72f3a6db,"Wish deleted my Wish List, my Order History, Points, and dollar credits towards a future purchase. WTH? The app could be better 'laid out'. Why the navigation buttons (ie: Home, Wish List, Categories, Shopping Cart buttons and the 3 line ""hamburger"") is not at the bottom of every shopping page, makes no sense.",2,negative
37,d684b0c9-55ef-4c54-a43e-f13886007818,"IT'S A EASY WAY TO SHOP.For me especially because I'm disabled and home bound, so i get on your WISH APP and off i go, like in my past, shopping without any barriers from home 🏡 in my bed looking for deals, sale's, And enjoying the latest items delivered to me with 😊 a Happy, Happy smile on my face like a child who's waiting for Christmas to get their gifts to open them up!THANK YOU WISH FROM THE BOTTOM OF MY HEART ❤️ that's one thing disability can't take Thanks to Wish😊🥳🥲😌",5,positive
38,90c9836d-8fa8-404f-b326-5b0a147ccbc3,I feel this app can rob you all blind after a short period they willn't never offer you a refund on anything that you. So please don't add it as my suggestion is buy in your own country & then you will get a better deal from someone you know. 💀,1,negative
39,b9e4b461-7d27-433d-bccd-bf9b1839283e,I used to use Wishca lot because being severely disabled with very limited mobility online shopping is an option. I've had a lot of problems with knee length boots. I've ordered a size 5 & ive received a 3 that obviously won't fit. I contacted customer services & was assured id receive a full refund. No refund received so i sent a very no nonsense message stating unless my refund is in my account before the end of the next day. They1 responded straight away refund received get in!,1,negative
40,2d224e26-2548-45d4-8579-5bea4b851c57,The apps is fantastic. it offers easy and smooth navigation,5,positive
41,773df854-bbb5-4f24-851d-a5f85f0b5aa4,Love the great deals. Wish (pun intended) size charts with universal conversions were accessible to all clothing for sale all the time though.,3,positive
42,30f95c90-82de-4513-a5ab-f81d403cc5dd,"great variety of types of products, each category of items has multiple retailers to ensure best prices, options of pick up and delivery allow costs of shipping to be minimised and also great variety of stock... overall very user friendly, safe and easy to use. really thankyou wish team always been contactable and effectiveness in their support service enables maximum confidence and assistance to us the customers. happy and easy navigation of items good descriptions and overall easy and to use.",5,positive
43,91e3baae-9646-4307-aa96-60ccb9401278,Works fine. Smooth navigation.,5,positive
44,850504d4-d44f-4d35-b43e-b984d29e97b1,"Great navigation on app and site, well placed owns in categories, and genuine sellers. Truthful on sales and always willing to fix fast if there were any issues",5,positive
45,67e1ba5e-8750-407d-b117-9bb08038488e,Great deals and accessible.,5,positive
